disease_id,disease_name,report_group_code,disease_scope,disease_scope_note_vi,support_tier,positive_fit_queries,model_complexity_flag,n_estimators_locked,weather_factor,model_feature_examples,weather_importance,weather_current_importance,weather_3d_importance,weather_7d_importance,medical_evidence_status,relationship_type,medical_explanation_short_vi,medical_explanation_detailed_vi,limitations_vi,runtime_tier2_display_allowed,direction_inferred_from_mean_abs_shap,weather_importance_interpreted_as_causal_percent,model_score_interpreted_as_probability,source_1_title,source_1_organization,source_1_url,source_1_year,source_2_title,source_2_organization,source_2_url,source_2_year,source_3_title,source_3_organization,source_3_url,source_3_year,source_ids
161,"Viêm tĩnh mạch, viêm tĩnh mạch huyết khối, nghẽn mạch và huyết khối tĩnh mạch - Phlebitis, thrombophlebitis,venous embolism and thrombosis",I80-I82,BROAD_DISEASE_GROUP,"I80-I82 bao gồm viêm tĩnh mạch, huyết khối tĩnh mạch và thuyên tắc/huyết khối tĩnh mạch ở nhiều vị trí.",STRONG,613,VERY_SIMPLE_MODEL,1,temperature; precipitation; humidity,"[""temperature_max_7d"", ""rain_max_daily_7d"", ""humidity_mean_3d"", ""temperature_min_7d"", ""wind_speed_mean_3d"", ""wind_gust_max_7d""]",0.5198890430800253,0.0,0.1288635402705715,0.39102550280945375,CONFLICTING,SEASONAL_ASSOCIATION,"Một số tổng hợp ghi nhận huyết khối tĩnh mạch xuất hiện nhiều hơn vào mùa lạnh, nhưng kết quả giữa các nghiên cứu không đồng nhất và chưa xác định được chiều tác động của từng biến thời tiết trong model này.","Meta-analysis cập nhật báo cáo VTE/DVT cao hơn vào mùa đông so với mùa hè, đồng thời thừa nhận dữ liệu trước đó mâu thuẫn và cơ chế chưa rõ. Kết quả đó là biến thiên theo mùa ở các quần thể khác nhau, không đủ để kết luận nhiệt độ, mưa hay độ ẩm 3-7 ngày tại TP.HCM làm thay đổi nguy cơ. Model con chỉ có 1 cây nên cần thận trọng đặc biệt khi diễn giải.",Không suy ra chiều từ mean(abs(SHAP)); bằng chứng mùa không tương đương cửa sổ 3-7 ngày; khác biệt khí hậu/quần thể; model VERY_SIMPLE_MODEL.,False,False,False,False,Seasonal variation in the frequency of venous thromboembolism: An updated result of a meta-analysis and systemic review,PubMed / Phlebology,https://pubmed.ncbi.nlm.nih.gov/32036737/,2020,,,,,,,,,"[""S01""]"
58,"U ác môi, khoang miệng, họng - Malignant neoplasm of lip, oral cavity and pharynx",C00-C14,BROAD_DISEASE_GROUP,"C00-C14 trải từ môi đến nhiều vị trí khoang miệng và hầu, có căn nguyên khác nhau.",BETTER,370,SIMPLE_MODEL,4,temperature; wind,"[""temperature_mean_7d"", ""wind_speed_max_7d"", ""temperature_min_3d"", ""temperature_min_7d"", ""temperature_max_3d"", ""temperature_max_7d""]",0.4853986427111074,0.012788858362004645,0.104546476662318,0.36806330768678475,INSUFFICIENT,,"Model sử dụng tương đối nhiều biến nhiệt độ và gió, nhưng chưa tìm thấy cơ sở y khoa đủ mạnh để giải thích weather ngắn hạn cho toàn nhóm ung thư C00-C14.","NCI nêu các yếu tố nguy cơ quan trọng của ung thư khoang miệng/hầu gồm thuốc lá, rượu, nhai trầu và HPV. Ánh nắng có thể liên quan riêng ung thư môi trong một số tài liệu, nhưng nhóm này rộng hơn nhiều và model không có feature UV/solar radiation. Không thể dùng cơ chế của ung thư môi để giải thích toàn bộ C00-C14.","Nhóm bệnh rất rộng; weather features không gồm UV; bệnh ung thư có thời gian phát triển dài, không phù hợp suy luận từ weather 7 ngày.",False,False,False,False,"Oral Cavity, Oropharyngeal, Hypopharyngeal, and Laryngeal Cancers Prevention (PDQ®)",U.S. National Cancer Institute,https://www.cancer.gov/types/head-and-neck/patient/oral-prevention-pdq,2024,,,,,,,,,"[""S02""]"
38,Viêm gan virut khác - Other viral hepatitis,"B15,B17-B19",BROAD_DISEASE_GROUP,"B15,B17-B19 gộp hepatitis A và nhiều viêm gan virus khác với đường lây khác nhau.",BETTER,322,SIMPLE_MODEL,5,precipitation and water contamination; temperature,"[""temperature_min_7d"", ""wind_gust_max_7d"", ""wind_speed_max_7d"", ""rain_max_daily_7d"", ""temperature_mean_7d"", ""wind_speed_mean_7d""]",0.4835907207666657,0.0,0.010015609011224884,0.4735751117554408,LIMITED_OR_INDIRECT,ENVIRONMENTAL_EXPOSURE,"Mưa lớn/lũ có thể làm tăng ô nhiễm nguồn nước và liên quan lây truyền hepatitis E hoặc A, nhưng cơ chế này không áp dụng cho mọi virus trong nhóm B15,B17-B19.","WHO xác nhận hepatitis E chủ yếu lây qua nước uống nhiễm phân và ghi nhận một số đợt bùng phát sau mưa lớn/lũ. Hepatitis A cũng là bệnh đường phân-miệng, nhưng nhóm nội bộ còn chứa các viêm gan virus khác. Vì vậy chỉ có thể dùng đây như bằng chứng gián tiếp cho các thành phần waterborne của nhóm, không gán cho toàn bộ nhóm và không suy ra chiều của model.",BROAD_DISEASE_GROUP; nhiều tác nhân/đường lây; thời gian ủ bệnh thường dài hơn cửa sổ 7 ngày; không suy ra chiều SHAP.,True,False,False,False,Hepatitis E,World Health Organization,https://www.who.int/news-room/fact-sheets/detail/hepatitis-e,2026,"Waterborne outbreaks of hepatitis E: recognition, investigation and control",World Health Organization,https://www.who.int/publications/i/item/waterborne-outbreaks-of-hepatitis-e-recognition-investigation-and-control,2014,,,,,"[""S03"", ""S04""]"
313,COVID-19 * U07.1 là bệnh nhân COVID-19 có kết quả xét nghiệm SARS-CoV-2 dương tính cập nhật theo hướng dẫn chẩn đoán và điều trị của Bộ Y tế.,U07.1,SPECIFIC_DISEASE_CATEGORY,U07.1 là COVID-19 có xác nhận virus theo mapping nội bộ.,STRONG,3776,NORMAL_MODEL,21,temperature; humidity; precipitation,"[""temperature_min_7d"", ""rain_max_daily_7d"", ""rain_days_7d"", ""wind_speed_max_7d"", ""temperature_max_7d"", ""wind_gust_max_7d""]",0.4350348155875605,0.004269160356336682,0.019905055450451993,0.41086059978077183,CONFLICTING,TRANSMISSION,"Các review ghi nhận một số liên hệ giữa nhiệt độ/độ ẩm và lan truyền COVID-19, nhưng độ chắc chắn thấp và kết quả thay đổi theo nơi, giai đoạn và chính sách.","Một số nghiên cứu quan sát thấy nhiệt độ hoặc độ ẩm cao đi kèm mức lây truyền thấp hơn, trong khi nghiên cứu khác không thấy liên hệ. Các systematic review nhấn mạnh can thiệp y tế công cộng, hành vi, miễn dịch, biến thể, thiết kế nghiên cứu và điều kiện xã hội giải thích phần lớn khác biệt. Do đó không dùng weather để khẳng định hướng truyền nhiễm ở một prediction cụ thể.",Nghiên cứu sinh thái dễ nhiễu; evidence certainty thấp; biến thể/chính sách/hành vi quan trọng; không suy ra chiều từ mean(abs(SHAP)).,False,False,False,False,Association between meteorological factors and COVID-19: a systematic review,PubMed / International Journal of Environmental Health Research,https://pubmed.ncbi.nlm.nih.gov/35674116/,2023,Effects of climate variables on the transmission of COVID-19: a systematic review of 62 ecological studies,PubMed / Environmental Science and Pollution Research,https://pubmed.ncbi.nlm.nih.gov/34398375/,2021,,,,,"[""S05"", ""S06""]"
81,U ác mắt và các phần phụ - Malignant neoplasm of eye and adnexa,C69,SPECIFIC_DISEASE_CATEGORY,C69 bao gồm u ác ở nhiều cấu trúc mắt/phần phụ; không đồng nhất hoàn toàn với u hắc tố màng bồ đào.,BETTER,208,NORMAL_MODEL,15,precipitation; temperature; wind,"[""rain_max_daily_7d"", ""temperature_min_7d"", ""temperature_max_current"", ""wind_speed_max_7d"", ""temperature_max_3d""]",0.4246099584632415,0.04403818334765457,0.07050649320212377,0.31006528191346316,INSUFFICIENT,,"Chưa có bằng chứng đủ mạnh nối mưa, nhiệt độ hoặc gió ngắn hạn với toàn bộ nhóm C69.","Ngay với u hắc tố màng bồ đào, NCI đánh giá liên hệ với ánh nắng/UV là yếu hoặc mâu thuẫn. Model không có feature UV và C69 còn rộng hơn u hắc tố màng bồ đào. Vì vậy weather importance cao trong model không có diễn giải bệnh học đáng tin cậy ở bước này.",Outcome không đồng nhất; UV không phải feature của model; tiến triển ung thư dài hạn không phù hợp cửa sổ 7 ngày.,False,False,False,False,Intraocular (Eye) Melanoma Treatment (PDQ®),U.S. National Cancer Institute,https://www.cancer.gov/types/eye/hp/intraocular-melanoma-treatment-pdq,2025,,,,,,,,,"[""S07""]"
254,Gai đôi cột sống - Spina bifida,Q05,SPECIFIC_DISEASE_CATEGORY,"Q05 là gai đôi cột sống, một dị tật ống thần kinh bẩm sinh.",BETTER,308,NORMAL_MODEL,200,maternal heat exposure,"[""temperature_min_7d"", ""humidity_max_7d"", ""wind_speed_max_7d"", ""precipitation_sum_7d"", ""temperature_mean_7d"", ""temperature_max_7d""]",0.4214269609680141,0.049382461370792156,0.08541410183351328,0.28663039776370863,LIMITED_OR_INDIRECT,ENVIRONMENTAL_EXPOSURE,"Có bằng chứng gợi ý về tăng thân nhiệt/phơi nhiễm nóng của mẹ trong giai đoạn thai kỳ liên quan dị tật ống thần kinh, nhưng weather tại thời điểm ca bệnh được ghi nhận không đại diện cho cửa sổ hình thành dị tật.","Systematic review và umbrella review ghi nhận tín hiệu giữa nhiệt cao hoặc maternal hyperthermia trong giai đoạn phát triển phôi với một số dị tật ống thần kinh. Đây là câu hỏi phơi nhiễm thai kỳ, không phải tác động của weather hiện tại/3 ngày/7 ngày lúc trẻ được ghi nhận. Vì mismatch thời gian, record này không được phép hiển thị tự động ở runtime hiện tại.",Temporal mismatch nghiêm trọng; không có dữ liệu phơi nhiễm thai kỳ; bằng chứng dị hợp; không dùng weather hiện tại để giải thích nguyên nhân dị tật.,False,False,False,False,Impacts of High Environmental Temperatures on Congenital Anomalies: A Systematic Review,PubMed / International Journal of Environmental Research and Public Health,https://pubmed.ncbi.nlm.nih.gov/34063033/,2021,Maternal factors for neural tube defects in offspring: An umbrella review,PubMed / Open Medicine,https://pubmed.ncbi.nlm.nih.gov/39434859/,2024,,,,,"[""S08"", ""S09""]"
142,Bệnh khác của tai và xương chũm - Other diseases of the ear and mastoid process,"H60-H62,H80-H83,H92-H95",BROAD_DISEASE_GROUP,"H60-H62,H80-H83,H92-H95 gồm otitis externa, otosclerosis và nhiều bệnh tai/xương chũm khác.",BETTER,378,NORMAL_MODEL,49,humidity; precipitation; temperature,"[""rain_max_daily_7d"", ""humidity_min_7d"", ""wind_gust_max_3d"", ""temperature_mean_7d"", ""temperature_min_7d"", ""temperature_max_3d""]",0.40648654136314416,0.024497511384875242,0.12243122971198231,0.2595578002662866,LIMITED_OR_INDIRECT,HEALTHCARE_UTILIZATION,"Mưa, ẩm và nhiệt có thể liên quan lượt khám viêm tai ngoài trong một số bối cảnh, nhưng không thể gán cơ chế đó cho toàn nhóm bệnh tai H60-H95.","Một nghiên cứu vùng cận nhiệt ghi nhận tương quan giữa lượng mưa, nhiệt độ tối thiểu và otitis externa. Ẩm/nước trong ống tai có tính hợp lý sinh học đối với viêm tai ngoài. Tuy nhiên nhóm nội bộ còn chứa otosclerosis, rối loạn chức năng tai và bệnh xương chũm, nên bằng chứng chỉ hỗ trợ gián tiếp cho một phân nhóm.",Nghiên cứu khu vực đơn lẻ; outcome con không đại diện toàn nhóm; không suy ra chiều cho từng ca từ mean(abs(SHAP)).,True,False,False,False,Otitis externa—climatic associations and evidence-based management strategies for Australian practice,PubMed / Australian Journal of Rural Health,https://pubmed.ncbi.nlm.nih.gov/31199041/,2019,,,,,,,,,"[""S10""]"
4,Lỵ Amip - Amoebiasis,A06,SPECIFIC_DISEASE_CATEGORY,A06 là amebiasis do Entamoeba histolytica với nhiều thể lâm sàng.,BETTER,294,VERY_SIMPLE_MODEL,1,precipitation and water contamination; temperature,"[""wind_gust_max_7d"", ""wind_speed_mean_current"", ""temperature_min_7d"", ""temperature_mean_7d"", ""precipitation_sum_7d"", ""wind_speed_max_3d""]",0.39624510940500657,0.08677244507340691,0.02621711288018578,0.28325555145141385,LIMITED_OR_INDIRECT,ENVIRONMENTAL_EXPOSURE,"Amebiasis lây qua thức ăn/nước nhiễm phân; mưa/lũ có thể làm xấu chất lượng nước, nhưng bằng chứng weather trực tiếp, đặc hiệu cho amebiasis còn hạn chế.","CDC xác nhận đường lây qua nước hoặc thức ăn chứa E. histolytica. Systematic review rộng về bệnh tiêu chảy cho thấy mưa lớn/lũ và nhiệt độ liên quan bệnh đường ruột qua ô nhiễm nước, nhưng không đủ để gán một chiều định lượng riêng cho A06. Gió là feature nổi bật của model này nhưng không tìm thấy cơ chế y khoa đáng tin cậy cho gió.",Bằng chứng weather chủ yếu ngoại suy từ waterborne diarrhoea; thời gian ủ bệnh thường 2-4 tuần; model chỉ 1 cây; không giải thích feature gió.,True,False,False,False,Amebiasis,U.S. Centers for Disease Control and Prevention,https://www.cdc.gov/amebiasis/about/index.html,2025,"Untangling the Impacts of Climate Change on Waterborne Diseases: a Systematic Review of Relationships between Diarrheal Diseases and Temperature, Rainfall, Flooding, and Drought",PubMed / Environmental Science & Technology,https://pubmed.ncbi.nlm.nih.gov/27058059/,2016,,,,,"[""S11"", ""S13""]"
74,U ác khác cơ quan sinh dục nữ - Malignant neoplasms of female genital organs,"C51-C52,C57-C58",BROAD_DISEASE_GROUP,"C51-C52,C57-C58 gồm nhiều ung thư cơ quan sinh dục nữ khác nhau.",BETTER,407,NORMAL_MODEL,195,temperature; wind; humidity,"[""temperature_min_7d"", ""wind_speed_mean_7d"", ""temperature_mean_7d"", ""temperature_max_3d"", ""humidity_min_7d"", ""wind_speed_max_7d""]",0.3948892836462754,0.04735157242715382,0.09366184658305249,0.2538758646360691,INSUFFICIENT,,Chưa tìm thấy bằng chứng đủ mạnh về weather ngắn hạn cho toàn nhóm ung thư C51-C58 này.,"HPV là nguyên nhân quan trọng của nhiều ung thư âm hộ/âm đạo, nhưng nhóm còn bao gồm các vị trí khác và căn nguyên khác. Không có cơ sở để nối temperature, wind hoặc humidity 3-7 ngày với sự hình thành hay ghi nhận của toàn nhóm.",BROAD_DISEASE_GROUP; thời gian tiến triển ung thư dài; source hỗ trợ căn nguyên HPV của phân nhóm chứ không hỗ trợ weather.,False,False,False,False,HPV and Cancer,U.S. National Cancer Institute,https://www.cancer.gov/about-cancer/causes-prevention/risk/infectious-agents/hpv-and-cancer,2025,,,,,,,,,"[""S12""]"
5,"Ỉa chảy, viêm dạy dày, ruột non có nguồn gốc nhiễm khuẩn - Diarrhoea and gastroenteritis of presumed infectious origin.",A09,BROAD_DISEASE_GROUP,"A09 là hội chứng tiêu chảy/viêm dạ dày-ruột nghi nhiễm khuẩn, không chỉ một tác nhân.",STRONG,7727,NORMAL_MODEL,158,temperature; heavy rainfall/flooding; humidity,"[""temperature_min_7d"", ""wind_speed_max_7d"", ""temperature_max_7d"", ""wind_gust_max_7d"", ""humidity_min_7d"", ""precipitation_sum_7d""]",0.3889258832763157,0.043078173627324884,0.056164633497550125,0.28968307615144073,SUPPORTED,ENVIRONMENTAL_EXPOSURE,"Nhiệt độ và mưa lớn/lũ có thể làm thay đổi sự tồn tại/phát triển của tác nhân đường ruột và nguy cơ ô nhiễm nước, thực phẩm; mức liên hệ phụ thuộc tác nhân và điều kiện vệ sinh.","Systematic review 141 nghiên cứu tìm thấy các điểm nhất quán: nhiều bệnh tiêu chảy tăng khi nhiệt độ tăng, ngoại trừ một số tiêu chảy virus, và bệnh tăng sau mưa lớn/lũ. WHO cũng coi diarrhoeal diseases là climate-sensitive qua đường nước, thực phẩm, vệ sinh và hạ tầng. Đây là bằng chứng dịch tễ về liên hệ, không chứng minh weather gây bệnh ở từng trẻ.","A09 không xác định tác nhân; hiệu ứng khác nhau giữa virus/vi khuẩn/ký sinh trùng; WASH, hành vi và độ trễ là yếu tố sửa đổi; không suy ra chiều model từ mean(abs(SHAP)).",True,False,False,False,"Untangling the Impacts of Climate Change on Waterborne Diseases: a Systematic Review of Relationships between Diarrheal Diseases and Temperature, Rainfall, Flooding, and Drought",PubMed / Environmental Science & Technology,https://pubmed.ncbi.nlm.nih.gov/27058059/,2016,Technical series on adapting to climate-sensitive health impacts: diarrhoeal diseases,World Health Organization,https://www.who.int/publications/i/item/9789240064591,2022,,,,,"[""S13"", ""S14""]"
