disease_group_id,disease_group_name,report_group_code,case_count,support_level
169,Các bệnh viêm phổi - Pneumonia,J12-J18,39648,high
170,Viêm phế quản và viêm tiểu phế quản cấp - Acute bronchitis and acute bronchiolitis,J20-J21,15339,high
165,Viêm họng và viêm amidan cấp - Acute pharyngitis and acute tonsillitis,J02-J03,12811,high
259,Dị tật bẩm sinh khác của bộ máy sinh dục tiết niệu - Other malformations of the genitourinary system,"Q38-Q40,Q42-Q45",12252,high
6,Các bệnh nhiễm khuẩn ruột khác - Other intestinal infectious diseases,"A02,A04-A05,A07-A08",11572,high
87,Bệnh bạch cầu - Leukaemia,C91-C95,9153,high
5,"Ỉa chảy, viêm dạy dày, ruột non có nguồn gốc nhiễm khuẩn - Diarrhoea and gastroenteritis of presumed infectious origin.",A09,8840,high
41,Bệnh virut khác - Other viral diseases,"A81,A87-A89,B03-B04,B07-B09,B25,B27-B34",8778,high
176,Hen - Asthma,J45-J46,6847,high
32,Sốt virut khác do tiết túc truyền và sốt virus xuất huyết - Other arthropod,"A90-A94,A96-A99",6641,high
173,Bệnh mạn tính của amidan và của VA - Chronic diseases of tonsils and adenoids,J35,5339,high
270,"Các triệu chứng, dấu hiệu và kết quả bất thường về khám lâm sàng và xét nghiệm khác, chưa xếp ở chỗ khác - Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R09,R11-R49,R51-R53,R55-R99",4723,high
99,"Tổn thương chảy máu, bệnh khác của máu và cơ quan tạo máu - Haemorrhagic conditions and other diseases of blood, blood",D65-D77,4615,high
274,Gãy các phần khác của chi do lao động và giao thông - Fracture of other lim bones,"S42,S52,S62,S82,S92,T10,T12",4490,high
190,"Tắc liệt ruột và tắc ruột không do thoát vị - Paralytic ileus, intestinal obstruction without hernia",K56,4118,high
187,Thoát vị bẹn - Inguinal hernia,K40,3949,high
96,"U khác insitu, lành tính và các u tiến triển không chắc chắn hoặc chưa rõ - Other insitus and benign neoplasms and neoplasms of uncertain or unknown behaviour","D00-D05,D07-D21,D26,D28-D29,D31-D32,D34-D48",3846,high
185,"Bệnh khác của thực quản, dạ dày và tá tràng - Other diseases of oesophagus, stomach, duodenum","K20-K23,K28,K30-K31",3575,high
253,Tổn thương khác có nguồn gốc trong thời kỳ chu sinh - Other conditions originating in the perinatal period,"P08,P29,P50-P54,P56-P96",3421,high
199,Bệnh khác của da và mô tế bào dưới da - Other diseases of skin and subcutaneous tissue,L10-L99,3410,high
261,Dị dạng bẩm sinh của bộ máy sinh dục tiết niệu - Congenital malformations of genital organs,"Q50-Q52,Q54-Q64",3381,high
98,Thiếu máu khác - Other anaemias,D51-D64,3262,high
124,Động kinh - Epilepsy,G40-G41,3066,high
167,Viêm cấp đường hô hấp trên khác - Other acute upper respiratory infections,"J00-J01,J05-J06",2828,high
186,Bệnh của ruột thừa - Diseases of appendix,K35-K38,2774,high
198,Bệnh nhiễm khuẩn da và mô tế bào dưới da - Infections of skin and subcutaneous tissue,L00-L08,2606,high
184,Viêm dạ dày và tá tràng - Gastritis and duodenitis,K29,2605,high
256,Dị tật bẩm sinh khác của bộ máy tuần hoàn - Congenital malfor-mation of the circulatory system,Q20-Q28,2429,high
204,Bệnh của hệ thống tổ chức liên kết - Systematic connective tissue disorders,M30-M36,2301,high
221,"Thừa bao qui đầu, hẹp và nghẹt bao qui đầu - Redundant prepuce, phimosis and paraphimosis",N47,2122,high
