disease_group_id,disease_group_name,report_group_code,train_rows,train_case_count,test_rows,test_case_count,data_support,catalog_support_level,model_supported,top1_recall,top5_recall,average_true_rank,predicted_top1_rows,predicted_top1_case_count,top1_prediction_share,actual_test_share,prediction_to_actual_ratio,adequate_support_for_ranking,relatively_good,very_weak_or_unsupported
1,Tả - Cholera,A00,1,1,2,2,insufficient,insufficient,True,0.0,0.0,179.5,0,0,0.0,4.223954043380008e-05,0.0,False,False,True
100,Một số rối loạn hệ miễn dịch - Certain disorders involving the immune mechanism,D80-D89,139,152,49,57,medium,medium,True,0.0,0.0,68.6140350877193,0,0,0.0,0.0012038269023633022,0.0,True,False,True
101,Tổn thương tuyến giáp liên quan đến thiếu iod - Iodine deficiency- related thyroid disorders,E00-E02,2,2,0,0,insufficient,insufficient,True,,,,0,0,0.0,0.0,,False,False,False
102,Nhiễm độc do tuyến giáp (cường giáp) - Thyrotoxicosis,E05,39,39,3,3,low,low,True,0.0,0.0,84.0,0,0,0.0,6.335931065070012e-05,0.0,False,False,True
103,Tổn thương khác của tuyến giáp - Other disorders of thyroid.,"E03-E04,E06-E07",78,81,24,24,low,low,True,0.0,0.0,94.16666666666667,0,0,0.0,0.000506874485205601,0.0,False,False,True
104,Đái tháo đường - Diabetes mellitus.,E10-E14,346,369,95,101,medium,medium,True,0.0,0.0,39.56435643564357,0,0,0.0,0.002133096791906904,0.0,True,False,True
105,Suy dinh dưỡng - Malnutrition,E40-E46,60,61,15,15,low,low,True,0.0,0.0,105.8,0,0,0.0,0.0003167965532535006,0.0,False,False,True
107,Thiếu vitamin khác - Other vitamin deficiencies.,E51-E56,6,6,2,2,insufficient,insufficient,True,0.0,0.0,178.5,0,0,0.0,4.223954043380008e-05,0.0,False,False,True
109,Béo phì - Obesity,E66,33,34,5,5,low,low,True,0.0,0.0,130.4,0,0,0.0,0.0001055988510845002,0.0,False,False,True
111,"Bệnh khác về nội tiết, dinh dưỡng và chuyển hoá - Other endocrine, nutritional and metabolic disorders","E15-E35,E58-E63,E65,E67-E84,E85,E87,E88-E89,E90",563,676,225,243,high,high,True,0.0,0.0,41.251028806584365,0,0,0.0,0.005132104162706709,0.0,True,False,True
114,Rối loạn tâm thần và ứng xử liên quan dùng các chất kích thích tâm lí khác - Mental and behavioural disorders due to other psychoactive substances use,F11-F19,0,0,0,0,unsupported,insufficient,False,,,,0,0,0.0,0.0,,False,False,False
115,"Tâm thần phân liệt, rối loạn dạng phân liệt và hoang tưởng - Schizophrenia, schiztypal and delusional disorders",F20-F29,4,4,2,2,insufficient,insufficient,True,0.0,0.0,163.5,0,0,0.0,4.223954043380008e-05,0.0,False,False,True
116,Rối loạn khí sắc - Mood ( affective) disorders.,F30-F39,6,6,2,2,insufficient,insufficient,True,0.0,0.0,158.0,0,0,0.0,4.223954043380008e-05,0.0,False,False,True
117,"Loạn thần kinh, rối loạn gắn liền với các yếu tố stress và các rối loạn thuộc thân thể - Neurotic, sterss - related and somatoform disorders",F40-F48,73,74,25,26,low,low,True,0.0,0.0,76.53846153846153,0,0,0.0,0.000549114025639401,0.0,False,False,True
118,Chậm phát triển tâm thần - Mental retardation,F70-F79,44,44,4,4,low,low,True,0.0,0.0,94.75,0,0,0.0,8.447908086760016e-05,0.0,False,False,True
119,Rối loạn tâm thần và nhân cách khác - Other mental and behavioural disorders,"F04-F09,F50-F69,F80-F99",128,130,31,33,low,low,True,0.0,0.0,75.18181818181819,0,0,0.0,0.0006969524171577013,0.0,False,False,True
120,Viêm hệ thần kinh trung ương - Inflamatory diseases of the central nervous system,G00-G09,614,661,252,281,high,high,True,0.0,0.0,40.59786476868327,0,0,0.0,0.005934655430948912,0.0,True,False,True
123,Xơ cứng nhiều nơi - Multiple sclerosis,G35,10,10,2,2,insufficient,insufficient,True,0.0,0.0,117.0,0,0,0.0,4.223954043380008e-05,0.0,False,False,True
124,Động kinh - Epilepsy,G40-G41,1394,1623,605,754,high,high,True,0.0,0.0,22.56763925729443,0,0,0.0,0.01592430674354263,0.0,True,False,True
125,Đau nửa đầu và các hội chứng đau đầu khác - Migraine and other headache syndromes.,G43-G44,84,84,37,37,low,low,True,0.0,0.0,81.89189189189189,0,0,0.0,0.0007814314980253015,0.0,False,False,True
126,Cơn thiếu máu não thoáng qua và các hội chứng tương tự - Transient cerebral ischaemic attacks and related syndromes,G45,6,6,1,1,insufficient,insufficient,True,0.0,0.0,154.0,0,0,0.0,2.111977021690004e-05,0.0,False,False,True
127,"Tổn thương thần kinh, rễ và đám rối thần kinh - Nerve, nerve root and plexus disorders",G50-G59,73,75,14,14,low,low,True,0.0,0.0,96.92857142857143,0,0,0.0,0.00029567678303660055,0.0,False,False,True
128,"Liệt não, hội chứng liệt khác - Cerebral palsy and other paralytic syndromes",G80-G83,20,20,3,3,low,low,True,0.0,0.0,145.0,0,0,0.0,6.335931065070012e-05,0.0,False,False,True
129,Bệnh khác của hệ thần kinh - Other diseases of the nervous system,"G10-G14,G21-G26,G31-G32,G36-G37,G46-G47,G60-G73,G90-G99",544,568,120,123,medium,medium,True,0.0,0.0,45.53658536585366,0,0,0.0,0.002597731736678705,0.0,True,False,True
13,Các dạng uốn ván khác - Other tetanus,A34-A35,3,3,0,0,insufficient,insufficient,True,,,,0,0,0.0,0.0,,False,False,False
130,Viêm mi mắt - Inflammation of eyelid,H00-H01,15,17,1,1,insufficient,insufficient,True,0.0,0.0,191.0,0,0,0.0,2.111977021690004e-05,0.0,False,False,True
131,"Viêm kết mạc, tổn thương khác của kết mạc - Conjunctivitis and other disoders of conjunctiva",H10-H13,37,37,6,6,low,low,True,0.0,0.0,100.5,0,0,0.0,0.00012671862130140025,0.0,False,False,True
132,"Viêm giác mạc, tổn thương khác của củng mạc và giác mạc - Keratitis and other disorders of sclera and cornea.",H15-H22,7,7,0,0,insufficient,insufficient,True,,,,0,0,0.0,0.0,,False,False,False
